Fake Student Identifier,Gender,Age at Semester Start,Domestic / international status,Mode of Study,Semester,Fake UoS Identifier,UoS Mark,UoS changes before Week 1,UoS changes before Week 2,UoS changes before census date,Canvas access Week 1,Canvas access Week 2,Canvas access Week 3,Canvas access Week 4,Canvas access Week 5,Canvas access Week 6,Canvas access Week 7,Canvas access Week 8,Canvas access Week 9,Canvas access Week 10,Canvas access Week 11,Canvas access Week 12,Canvas access Week 13,Canvas access Mid-semester break,Canvas access STUVAC
2171,M,19-21,Domestic,Full Time,1,UNIT I,73,0,0,4,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
2343,M,19-21,International,Full Time,2,UNIT E,71,6,8,8,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
1385,F,19-21,Domestic,Full Time,1,UNIT I,64,20,20,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1985,F,19-21,Domestic,Full Time,1,UNIT C,69,14,14,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4038,M,19-21,International,Full Time,1,UNIT I,78,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3188,M,18 and under,Domestic,Full Time,2,UNIT F,88,6,6,6,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
3888,F,19-21,International,Full Time,1,UNIT I,46,2,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2650,F,19-21,International,Full Time,2,UNIT D,51,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,F,Over 25,Domestic,Full Time,1,UNIT I,65,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3454,M,22-25,International,Full Time,1,UNIT L,83,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1359,F,18 and under,Domestic,Full Time,1,UNIT I,69,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2063,M,22-25,Domestic,Full Time,1,UNIT O,40,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2952,M,19-21,Domestic,Full Time,2,UNIT F,78,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3157,F,19-21,Domestic,Full Time,1,UNIT M,64,8,22,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
770,F,18 and under,Domestic,Full Time,1,UNIT I,82,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1472,M,19-21,Domestic,Full Time,1,UNIT M,67,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1460,M,18 and under,International,Full Time,2,UNIT D,73,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1595,M,18 and under,Domestic,Full Time,2,UNIT J,23,10,10,10,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
1443,M,19-21,Domestic,Full Time,1,UNIT K,74,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3913,F,19-21,Domestic,Full Time,2,UNIT G,59,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1645,M,19-21,Domestic,Full Time,1,UNIT A,76,8,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2614,F,19-21,Domestic,Full Time,2,UNIT F,62,26,28,32,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1476,F,19-21,International,Full Time,2,UNIT A,73,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2887,M,22-25,International,Full Time,1,UNIT L,53,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3795,F,22-25,International,Full Time,1,UNIT A,82,0,18,28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2609,M,22-25,Domestic,Full Time,1,UNIT C,50,0,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
206,F,19-21,International,Full Time,2,UNIT G,75,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2155,M,19-21,International,Full Time,1,UNIT C,58,0,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1579,M,19-21,Domestic,Full Time,2,UNIT D,63,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1768,M,18 and under,Domestic,Full Time,2,UNIT D,69,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3540,F,19-21,International,Full Time,2,UNIT G,73,8,8,8,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
1504,M,19-21,International,Full Time,2,UNIT D,79,20,22,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1777,F,18 and under,Domestic,Full Time,1,UNIT A,60,2,2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2147,M,19-21,International,Full Time,1,UNIT I,65,0,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4135,M,18 and under,Domestic,Full Time,2,UNIT G,78,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1099,M,18 and under,Domestic,Full Time,2,UNIT D,79,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3904,M,19-21,International,Full Time,1,UNIT A,74,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3076,M,18 and under,Domestic,Full Time,2,UNIT F,83,6,6,6,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
855,F,18 and under,International,Full Time,1,UNIT B,62,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2260,M,19-21,Domestic,Full Time,2,UNIT B,74,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2861,M,19-21,International,Full Time,2,UNIT D,81,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2849,M,19-21,Domestic,Full Time,1,UNIT A,21,0,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3151,M,19-21,International,Full Time,1,UNIT A,45,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
3204,F,22-25,Domestic,Part Time,1,UNIT H,76,8,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
